dataset,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,0.7,long,Naive (persistence),ALL_MEAN,1.915603196887742,,,0.022543905072960235,0.0,5.0
history_only,0.7,extra_long,Naive (persistence),25,1.812650481540931,2.736918030372105,19936.0,,,
history_only,0.7,extra_long,Linear Regression,25,1.7185385325051918,2.3760695351413372,19936.0,,,
history_only,0.7,extra_long,Decision Tree,25,1.7091250039610426,2.3381277626721193,19936.0,,,
history_only,0.7,extra_long,Random Forest,25,1.7080002046219258,2.336477974501565,19936.0,,,
history_only,0.7,extra_long,Naive (persistence),26,1.792915121755687,2.7064056840440447,19958.0,,,
history_only,0.7,extra_long,Linear Regression,26,1.6746072561154572,2.296234960691846,19958.0,,,
history_only,0.7,extra_long,Decision Tree,26,1.6600266641782975,2.254575217750764,19958.0,,,
history_only,0.7,extra_long,Random Forest,26,1.6591881463307776,2.2477199490638684,19958.0,,,
history_only,0.7,extra_long,Naive (persistence),27,1.7782066061851536,2.6907039459825506,19951.0,,,
history_only,0.7,extra_long,Linear Regression,27,1.673576922400802,2.2909782249761794,19951.0,,,
history_only,0.7,extra_long,Decision Tree,27,1.662029913469392,2.2519916945045324,19951.0,,,
history_only,0.7,extra_long,Random Forest,27,1.6624221262335863,2.2529352012908404,19951.0,,,
history_only,0.7,extra_long,Naive (persistence),28,1.7829029832038106,2.7148791989568437,19945.0,,,
history_only,0.7,extra_long,Linear Regression,28,1.6524134210361043,2.272844465477143,19945.0,,,
history_only,0.7,extra_long,Decision Tree,28,1.6437285585825694,2.250443157214109,19945.0,,,
history_only,0.7,extra_long,Random Forest,28,1.642622096962994,2.2476429628974204,19945.0,,,
history_only,0.7,extra_long,Naive (persistence),29,1.7241362017952961,2.685017222772589,19941.0,,,
history_only,0.7,extra_long,Linear Regression,29,1.653306331194782,2.3278894969790422,19941.0,,,
history_only,0.7,extra_long,Decision Tree,29,1.6293455869324442,2.253725184711101,19941.0,,,
history_only,0.7,extra_long,Random Forest,29,1.6290454730148454,2.2522240267014326,19941.0,,,
history_only,0.7,extra_long,Linear Regression,ALL_MEAN,1.6744884926504675,,,0.02398851319693443,0.05830389468730901,5.0
