dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.7,short,Linear Regression,26,1.0946241678877096,1.5089613810514302,19948.0,,,
history_only,2,0.7,short,Decision Tree,26,1.091119118089593,1.4816593219797387,19948.0,,,
history_only,2,0.7,short,Random Forest,26,1.0903405543751923,1.4801245726734726,19948.0,,,
history_only,2,0.7,short,Naive (persistence),27,1.0274075558673215,1.6185336782600757,19958.0,,,
history_only,2,0.7,short,Linear Regression,27,1.052934580139486,1.4477675364082725,19958.0,,,
history_only,2,0.7,short,Decision Tree,27,1.0540435948926798,1.4217810315367048,19958.0,,,
history_only,2,0.7,short,Random Forest,27,1.0538335129111647,1.420954420863624,19958.0,,,
history_only,2,0.7,short,Naive (persistence),28,1.0410238429172511,1.6279189833617338,19964.0,,,
history_only,2,0.7,short,Linear Regression,28,1.0786104266021428,1.4806267262673214,19964.0,,,
history_only,2,0.7,short,Decision Tree,28,1.0747925249340688,1.4469944714185465,19964.0,,,
history_only,2,0.7,short,Random Forest,28,1.0741974774679852,1.4457309758653272,19964.0,,,
history_only,2,0.7,short,Naive (persistence),29,1.0770463881374612,1.6629052837028564,19962.0,,,
history_only,2,0.7,short,Linear Regression,29,1.0919960182840815,1.4964324786145042,19962.0,,,
history_only,2,0.7,short,Decision Tree,29,1.0912426203708976,1.4727342392906515,19962.0,,,
history_only,2,0.7,short,Random Forest,29,1.0912297311546908,1.472399076894465,19962.0,,,
history_only,2,0.7,short,Linear Regression,ALL_MEAN,1.0793966679467448,,,0.014777112956459403,-0.02165482974559363,5.0
history_only,2,0.7,short,Decision Tree,ALL_MEAN,1.0776095236706449,,,0.013654568384155321,-0.019963287946967556,5.0
history_only,2,0.7,short,Random Forest,ALL_MEAN,1.077271015240227,,,0.013599185742873407,-0.019642887872448167,5.0
history_only,2,0.7,short,Naive (persistence),ALL_MEAN,1.0565179515820717,,,0.02064871861228229,0.0,5.0
history_only,2,0.7,medium,Naive (persistence),25,1.3442195952714886,2.0591338124813228,19964.0,,,
history_only,2,0.7,medium,Linear Regression,25,1.2816384205530775,1.743562420027917,19964.0,,,
history_only,2,0.7,medium,Decision Tree,25,1.2525432298307326,1.717633222642496,19964.0,,,
history_only,2,0.7,medium,Random Forest,25,1.2521487707823382,1.71631962220633,19964.0,,,
history_only,2,0.7,medium,Naive (persistence),26,1.375275716863846,2.1084255242472696,19948.0,,,
history_only,2,0.7,medium,Linear Regression,26,1.2965498668280628,1.7800341590217554,19948.0,,,
history_only,2,0.7,medium,Decision Tree,26,1.2718112550077034,1.7579908232146246,19948.0,,,
history_only,2,0.7,medium,Random Forest,26,1.2710804192645704,1.756570592146001,19948.0,,,
history_only,2,0.7,medium,Naive (persistence),27,1.2883054414269968,2.016044472267349,19958.0,,,
history_only,2,0.7,medium,Linear Regression,27,1.2350909557306475,1.676257367994808,19958.0,,,
history_only,2,0.7,medium,Decision Tree,27,1.22009149067563,1.6635933909081841,19958.0,,,
history_only,2,0.7,medium,Random Forest,27,1.2196876965495207,1.6630751593661905,19958.0,,,
history_only,2,0.7,medium,Naive (persistence),28,1.3126627930274495,2.0379587573388,19964.0,,,
history_only,2,0.7,medium,Linear Regression,28,1.2771783604312792,1.7439830415841213,19964.0,,,
history_only,2,0.7,medium,Decision Tree,28,1.2563450724158571,1.7117360341500907,19964.0,,,
history_only,2,0.7,medium,Random Forest,28,1.2550926895724208,1.7086322943975647,19964.0,,,
history_only,2,0.7,medium,Naive (persistence),29,1.3833784189960925,2.1195721061655695,19962.0,,,
history_only,2,0.7,medium,Linear Regression,29,1.2915705585830701,1.7619494450501827,19962.0,,,
history_only,2,0.7,medium,Decision Tree,29,1.2702006141843163,1.7475733836057163,19962.0,,,
history_only,2,0.7,medium,Random Forest,29,1.26980376290178,1.74714173834428,19962.0,,,
history_only,2,0.7,medium,Linear Regression,ALL_MEAN,1.2764056324252273,,,0.021774511960497157,0.048004383920707716,5.0
history_only,2,0.7,medium,Decision Tree,ALL_MEAN,1.2541983324228478,,,0.01863820042123874,0.06456749811431528,5.0
history_only,2,0.7,medium,Random Forest,ALL_MEAN,1.2535626678141258,,,0.018560703300796302,0.06504160282321592,5.0
history_only,2,0.7,medium,Naive (persistence),ALL_MEAN,1.3407683931171746,,,0.0362231046441883,0.0,5.0
history_only,2,0.7,long,Naive (persistence),25,1.5674213584452013,2.4205466909997746,19964.0,,,
history_only,2,0.7,long,Linear Regression,25,1.3755177405199197,1.893343317196124,19964.0,,,
history_only,2,0.7,long,Decision Tree,25,1.3614315668919856,1.8904086564837483,19964.0,,,
history_only,2,0.7,long,Random Forest,25,1.3614458283601842,1.8906556128485539,19964.0,,,
history_only,2,0.7,long,Naive (persistence),26,1.6482354120713856,2.5150738659197835,19948.0,,,
history_only,2,0.7,long,Linear Regression,26,1.3911201685969474,1.9313202054306682,19948.0,,,
history_only,2,0.7,long,Decision Tree,26,1.375909725929958,1.92852919379599,19948.0,,,
history_only,2,0.7,long,Random Forest,26,1.3746876672456356,1.9255159405178375,19948.0,,,
history_only,2,0.7,long,Naive (persistence),27,1.5027056819320572,2.345827381291282,19958.0,,,
history_only,2,0.7,long,Linear Regression,27,1.3097136075557887,1.7866283795248967,19958.0,,,
history_only,2,0.7,long,Decision Tree,27,1.2985383397791195,1.7827846674083219,19958.0,,,
history_only,2,0.7,long,Random Forest,27,1.2978207719278576,1.781417548155842,19958.0,,,
