dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.5,short,Naive (persistence),ALL_MEAN,0.8673824497844829,0.2803997403513702,0.2802629041131363,0.28033109398418493,,0.0923788206603908,0.004850235515909719,0.026807137774061487,0.026987875905748436,0.026896477288729098,5.0
history_only,2,0.5,short,Logistic Regression,ALL_MEAN,0.9102296520603106,0.6832841048487498,0.04932248275767055,0.09172605078019466,,0.0923788206603908,0.005076552827501933,0.0449383851453769,0.014513074846351825,0.025335292013644633,5.0
history_only,2,0.5,short,Random Forest,ALL_MEAN,0.9103404901130732,0.6918094657926355,0.04996309382573844,0.0929412158856734,,0.0923788206603908,0.005108311329765879,0.055070828555836136,0.014246942857548966,0.025026770952657294,5.0
history_only,2,0.5,medium,Naive (always 'not congested'),25,0.9038626177166742,0.0,0.0,0.0,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,medium,Naive (persistence),25,0.8351211159792516,0.14210802307288936,0.14195914091147196,0.1420335429769392,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,medium,Logistic Regression,25,0.9038626177166742,0.0,0.0,0.0,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,medium,Random Forest,25,0.9040640580148058,0.7,0.003666841278156103,0.007295466388744137,19857.0,0.09613738228332577,,,,,
history_only,2,0.5,medium,Naive (always 'not congested'),26,0.911103267446551,0.0,0.0,0.0,19832.0,0.08889673255344897,,,,,
history_only,2,0.5,medium,Naive (persistence),26,0.8472670431625655,0.14074914869466515,0.1406693136698809,0.14070921985815601,19832.0,0.08889673255344897,,,,,
history_only,2,0.5,medium,Logistic Regression,26,0.9112041145623235,0.5833333333333334,0.003970504821327283,0.007887323943661971,19832.0,0.08889673255344897,,,,,
history_only,2,0.5,medium,Random Forest,26,0.9114058087938685,0.5882352941176471,0.011344299489506523,0.022259321090706732,19832.0,0.08889673255344897,,,,,
history_only,2,0.5,medium,Naive (always 'not congested'),27,0.9159697732997482,0.0,0.0,0.0,19850.0,0.08403022670025188,,,,,
history_only,2,0.5,medium,Naive (persistence),27,0.85455919395466,0.13437312537492502,0.1342925659472422,0.13433283358320838,19850.0,0.08403022670025188,,,,,
history_only,2,0.5,medium,Logistic Regression,27,0.9159697732997482,0.0,0.0,0.0,19850.0,0.08403022670025188,,,,,
history_only,2,0.5,medium,Random Forest,27,0.9159697732997482,0.5,0.001199040767386091,0.0023923444976076554,19850.0,0.08403022670025188,,,,,
history_only,2,0.5,medium,Naive (always 'not congested'),28,0.8978050745066452,0.0,0.0,0.0,19864.0,0.10219492549335481,,,,,
history_only,2,0.5,medium,Naive (persistence),28,0.8326621022956101,0.1815944881889764,0.18177339901477832,0.18168389955686853,19864.0,0.10219492549335481,,,,,
history_only,2,0.5,medium,Logistic Regression,28,0.8978050745066452,0.0,0.0,0.0,19864.0,0.10219492549335481,,,,,
history_only,2,0.5,medium,Random Forest,28,0.8982078131292791,0.7,0.006896551724137931,0.013658536585365854,19864.0,0.10219492549335481,,,,,
history_only,2,0.5,medium,Naive (always 'not congested'),29,0.9093149582536968,0.0,0.0,0.0,19882.0,0.0906850417463032,,,,,
history_only,2,0.5,medium,Naive (persistence),29,0.8428729504074037,0.13285158421345192,0.13255684969495285,0.13270405330372015,19882.0,0.0906850417463032,,,,,
history_only,2,0.5,medium,Logistic Regression,29,0.9095664420078463,1.0,0.0027731558513588465,0.0055309734513274336,19882.0,0.0906850417463032,,,,,
history_only,2,0.5,medium,Random Forest,29,0.9099185192636555,0.8,0.00887409872434831,0.01755348326933626,19882.0,0.0906850417463032,,,,,
history_only,2,0.5,medium,Naive (always 'not congested'),ALL_MEAN,0.9076111382446632,0.0,0.0,0.0,,0.09238886175533692,0.006247800271340041,0.0,0.0,0.0,5.0
history_only,2,0.5,medium,Naive (persistence),ALL_MEAN,0.8424964811598983,0.14633527390898154,0.14625025384766527,0.14629270985577844,,0.09238886175533692,0.007993998374765528,0.017984379452958714,0.018121534169470346,0.018052935489049293,5.0
history_only,2,0.5,medium,Logistic Regression,ALL_MEAN,0.9076816044186475,0.3166666666666667,0.0013487321345372258,0.002683659478997881,,0.09238886175533692,0.0062735147466811405,0.40960685758148363,0.0016946923059034816,0.0033702048992747145,5.0
history_only,2,0.5,medium,Random Forest,ALL_MEAN,0.9079131945002714,0.6576470588235294,0.006396166396706991,0.01263183036635213,,0.09238886175533692,0.0061666591149958155,0.1034625452513913,0.003614799734702683,0.007089276718578242,5.0
history_only,2,0.5,long,Naive (always 'not congested'),25,0.9036611774185426,0.0,0.0,0.0,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,long,Naive (persistence),25,0.8232361383894848,0.08127949659150498,0.08102456874019864,0.08115183246073299,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,long,Logistic Regression,25,0.9036611774185426,0.0,0.0,0.0,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,long,Random Forest,25,0.9036611774185426,0.0,0.0,0.0,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,long,Naive (always 'not congested'),26,0.9112545381202097,0.0,0.0,0.0,19832.0,0.08874546187979024,,,,,
history_only,2,0.5,long,Naive (persistence),26,0.836627672448568,0.08002270147559591,0.08011363636363636,0.08006814310051108,19832.0,0.08874546187979024,,,,,
history_only,2,0.5,long,Logistic Regression,26,0.9112545381202097,0.0,0.0,0.0,19832.0,0.08874546187979024,,,,,
history_only,2,0.5,long,Random Forest,26,0.9112545381202097,0.0,0.0,0.0,19832.0,0.08874546187979024,,,,,
history_only,2,0.5,long,Naive (always 'not congested'),27,0.916272040302267,0.0,0.0,0.0,19850.0,0.083727959697733,,,,,
history_only,2,0.5,long,Naive (persistence),27,0.8462972292191436,0.08338332333533294,0.08363417569193743,0.0835085611294683,19850.0,0.083727959697733,,,,,
history_only,2,0.5,long,Logistic Regression,27,0.916272040302267,0.0,0.0,0.0,19850.0,0.083727959697733,,,,,
history_only,2,0.5,long,Random Forest,27,0.916272040302267,0.0,0.0,0.0,19850.0,0.083727959697733,,,,,
